english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
No friends on this Steam account.	Keine Freunde in diesem Steam-Konto.	Aucun ami sur ce compte Steam.	이 Steam 계정에 친구가 없습니다.	No hay amigos en esta cuenta de Steam.					Nessun amico su questo account Steam.	Nenhum amigo nesta conta Steam.		Brak znajomych na tym koncie Steam.
In game ({0})	Im Spiel ({0})	En jeu ({0})	게임 중 ({0})	Jugando ({0})					In gioco ({0})	Em jogo ({0})		W grze ({0})
In a non-Steam game	In einem Nicht-Steam-Spiel	Dans un jeu hors Steam	Steam 외 게임 중	En un juego fuera de Steam					In un gioco non Steam	Em um jogo fora do Steam		W grze spoza Steam
Online	Online	En ligne	온라인	En línea					Online			
Offline	Offline	Hors ligne	오프라인	Desconectado					Offline			
Away	Abwesend	Absent	자리 비움	Ausente					Assente	Ausente		Nieobecny
Busy	Beschäftigt	Occupé	바쁨	Ocupado					Occupato	Ocupado		Zajęty
Chat	Chatten	Discuter	채팅	Chatear					Chat			Czat
Friend activity	Aktivitäten der Freunde	Activité des amis	친구 활동	Actividad de amigos					Attività degli amici	Atividade dos amigos		Aktywność znajomych
No recent activity.	Keine Aktivitäten.	Aucune activité récente.	최근 활동이 없습니다.	No hay actividad reciente.					Nessuna attività recente.	Nenhuma atividade recente.		Brak ostatniej aktywności.
Hidden achievement	Versteckte Errungenschaft	Succès caché	숨겨진 도전 과제	Logro oculto					Obiettivo nascosto	Conquista oculta		Ukryte osiągnięcie
Today	Heute	Aujourd'hui	오늘	Hoy					Oggi	Hoje		Dziś
Yesterday	Gestern	Hier	어제	Ayer					Ieri	Ontem		Wczoraj
just now	gerade eben	à l'instant	방금	ahora mismo					adesso	agora mesmo		przed chwilą
{0} min ago	vor {0} Min.	il y a {0} min	{0}분 전	hace {0} min					{0} min fa	há {0} min		{0} min temu
{0} h ago	vor {0} Std.	il y a {0} h	{0}시간 전	hace {0} h					{0} h fa	há {0} h		{0} godz. temu
yesterday	gestern	hier	어제	ayer					ieri	ontem		wczoraj
{0} days ago	vor {0} Tagen	il y a {0} jours	{0}일 전	hace {0} días					{0} giorni fa	há {0} dias		{0} dni temu
Achievement in {0}	Errungenschaft in {0}	Succès dans {0}	{0} 도전 과제	Logro en {0}					Obiettivo in {0}	Conquista em {0}		Osiągnięcie w {0}
{0} achievements in {1}	{0} Errungenschaften in {1}	{0} succès dans {1}	{1} 도전 과제 {0}개	{0} logros en {1}					{0} obiettivi in {1}	{0} conquistas em {1}		{0} osiągnięć w {1}
Played {0} for the first time	Hat {0} zum ersten Mal gespielt	A joué à {0} pour la première fois	{0} 첫 플레이	Jugó a {0} por primera vez					Ha giocato a {0} per la prima volta	Jogou {0} pela primeira vez		Zagrał w {0} po raz pierwszy
Played {0}	Spielte {0}	A joué à {0}	{0} 플레이	Jugó a {0}					Ha giocato a {0}	Jogou {0}		Grał w {0}
Last online {0}	Zuletzt online {0}	En ligne {0}	마지막 접속 {0}	En línea {0}					Ultimo accesso {0}	Visto por último {0}		Ostatnio online {0}
Activate Game Bar auto-jump	Game-Bar-Autosprung aktivieren	Activer le saut auto Game Bar	Game Bar 자동 이동 켜기	Activar el salto automático					Attiva il salto automatico Game Bar	Ativar o salto automático da Game Bar		Włącz automatyczny skok Game Bar
Add ClawTweaks to the Game Bar	ClawTweaks zur Game Bar hinzufügen	Ajouter ClawTweaks à la Game Bar	Game Bar에 ClawTweaks 추가	Añadir ClawTweaks a la Game Bar					Aggiungi ClawTweaks alla Game Bar	Adicionar o ClawTweaks à Game Bar		Dodaj ClawTweaks do Game Bar
Add ClawTweaks to the Game Bar first.	Erst ClawTweaks zur Game Bar hinzufügen.	Ajoutez d'abord ClawTweaks à la Game Bar.	먼저 Game Bar에 ClawTweaks를 추가하세요.	Añade antes ClawTweaks a la Game Bar.					Aggiungi prima ClawTweaks alla Game Bar.	Adicione o ClawTweaks à Game Bar primeiro.		Najpierw dodaj ClawTweaks do Game Bar.
Add ROMs in Playnite, then close it — they are found automatically.	Füge ROMs in Playnite hinzu und schließe es — sie werden automatisch gefunden.	Ajoutez vos ROM dans Playnite puis fermez-le — elles sont trouvées automatiquement.	Playnite에서 ROM을 추가한 뒤 닫으세요 — 자동으로 검색됩니다.	Añade ROM en Playnite y ciérralo — se encuentran automáticamente.					Aggiungi le ROM in Playnite, poi chiudilo — vengono trovate da sole.	Adicione as ROMs no Playnite e feche-o — elas são encontradas automaticamente.		Dodaj ROM-y w Playnite i zamknij go — zostaną znalezione automatycznie.
Add a desktop icon	Desktop-Verknüpfung erstellen	Ajouter une icône au bureau	바탕 화면 아이콘 추가	Añadir icono al escritorio					Aggiungi un'icona sul desktop	Ícone na área de trabalho		Ikona na pulpicie
Add an app	App hinzufügen	Ajouter une app	앱 추가	Añadir una app					Aggiungi un'app	Adicionar um app		Dodaj aplikację
Add app	Hinzufügen	Ajouter	앱 추가	Añadir app					Aggiungi app	Add. app		Dodaj apl.
Add it under Settings → SteamGridDB key.	Unter Einstellungen → SteamGridDB-Key eintragen.	Ajoutez-la dans Paramètres → clé SteamGridDB.	설정 → SteamGridDB 키에 입력하세요.	Añádela en Ajustes → clave de SteamGridDB.					Inseriscila in Impostazioni → chiave SteamGridDB.	Adicione em Configurações → chave SteamGridDB.		Dodaj go w Ustawienia → klucz SteamGridDB.
Add to Favorites	Zu Favoriten	Aux favoris	즐겨찾기 추가	A favoritos					Aggiungi ai preferiti	Adicionar aos favoritos		Dodaj do ulubionych
After starting a game	Nach dem Spielstart	Après le lancement	게임 실행 후	Tras iniciar un juego					Dopo l'avvio di un gioco	Depois de iniciar um jogo		Po uruchomieniu gry
All	Alle	Tous	전체	Todos					Tutti	Todos		Wszystko
All achievements…	Alle Errungenschaften…	Tous les succès…	모든 도전 과제…	Todos los logros…					Tutti gli obiettivi…	Todas as conquistas…		Wszystkie osiągnięcia…
All systems	Alle Systeme	Tous les systèmes	모든 시스템	Todos los sistemas					Tutti i sistemi	Todos os sistemas		Wszystkie systemy
All tabs shown	Alle Tabs sichtbar	Tous les onglets	모든 탭 표시	Todas las pestañas					Tutte le schede	Todas as abas		Wszystkie karty
Almost done	Fast fertig	Presque fini	거의 다 됐습니다	Casi listo					Quasi fatto	Quase pronto		Prawie gotowe
Almost — but in the wrong place	Fast — aber am falschen Ort	Presque — mais au mauvais endroit	거의 — 하지만 위치가 잘못됨	Casi — pero en el sitio erróneo					Quasi — ma nel posto sbagliato	Quase — mas no lugar errado		Prawie — ale w złym miejscu
Already disabled.	Bereits abgeschaltet.	Déjà désactivé.	이미 비활성화됨.	Ya está desactivado.					Già disattivato.	Já desativado.		Już wyłączone.
Already enabled.	Bereits aktiviert.	Déjà activé.	이미 활성화됨.	Ya está activado.					Già attivato.	Já ativado.		Już włączone.
Also looks for new cover art	Sucht auch nach neuem Cover	Cherche aussi une jaquette	새 커버도 함께 찾습니다	También busca nueva portada					Cerca anche nuove copertine	Também procura novas capas		Szuka też nowych okładek
An automatic backup of your current settings is created before the reset, so you can restore it later from Restore Backup. The Game Bar will be closed — reopen it (Win+G) afterwards.	Vor dem Zurücksetzen wird automatisch ein Backup deiner Einstellungen angelegt, das du später über Backup zurückholen kannst. Die Game Bar wird geschlossen — danach mit Win+G wieder öffnen.	Une sauvegarde automatique de vos réglages est créée avant la remise à zéro ; vous pourrez la restaurer plus tard. La Game Bar sera fermée — rouvrez-la avec Win+G.	초기화 전에 현재 설정이 자동으로 백업되며 나중에 백업 복원에서 되돌릴 수 있습니다. Game Bar가 닫히므로 나중에 Win+G로 다시 여세요.	Antes del restablecimiento se crea una copia automática de tus ajustes, que podrás restaurar después. La Game Bar se cerrará — vuelve a abrirla con Win+G.					Prima del reset viene creato un backup automatico delle impostazioni, ripristinabile poi da Ripristina backup. La Game Bar verrà chiusa — riaprila (Win+G) dopo.	Um backup automático das configurações atuais é criado antes da redefinição, para restaurar depois em Restaurar backup. A Game Bar será fechada — reabra-a (Win+G) depois.		Przed resetem tworzona jest automatyczna kopia bieżących ustawień, którą możesz później przywrócić w Przywróć kopię. Game Bar zostanie zamknięty — otwórz go potem (Win+G).
An existing ClawTweaks installation was found. The setup will re-check all prerequisites and install the latest package.	Eine vorhandene ClawTweaks-Installation wurde gefunden. Das Setup prüft alle Voraussetzungen erneut und installiert das neueste Paket.	Une installation ClawTweaks existante a été trouvée. Le setup revérifie les prérequis et installe le dernier paquet.	기존 ClawTweaks 설치를 찾았습니다. 설치 프로그램이 요구 사항을 다시 확인하고 최신 패키지를 설치합니다.	Se encontró una instalación de ClawTweaks. El setup revisa los requisitos e instala el último paquete.					Trovata un'installazione di ClawTweaks. Il setup ricontrolla i prerequisiti e installa il pacchetto più recente.	Uma instalação do ClawTweaks foi encontrada. O setup verifica os pré-requisitos de novo e instala o pacote mais recente.		Znaleziono istniejącą instalację ClawTweaks. Instalator ponownie sprawdzi wymagania i zainstaluje najnowszy pakiet.
An older ClawTweaks Center is still installed	Ein älteres ClawTweaks Center ist noch installiert	Un ancien ClawTweaks Center est encore installé	이전 ClawTweaks Center가 아직 설치되어 있습니다	Sigue instalado un ClawTweaks Center anterior					È ancora installato un ClawTweaks Center più vecchio	Um ClawTweaks Center mais antigo ainda está instalado		Starszy ClawTweaks Center jest nadal zainstalowany
Answers to the questions that come up most.	Antworten auf die häufigsten Fragen.	Réponses aux questions les plus fréquentes.	자주 나오는 질문에 대한 답변입니다.	Respuestas a las preguntas más frecuentes.					Risposte alle domande più frequenti.	Respostas às perguntas mais frequentes.		Odpowiedzi na najczęstsze pytania.
Anti-cheat	Anti-Cheat	Anti-triche	안티치트	Anti-trampas					Anti-cheat			
App package	App-Paket	Paquet de l'app	앱 패키지	Paquete de la app					Pacchetto app	Pacote do app		Pakiet aplikacji
Back	Zurück	Retour	뒤로	Atrás					Indietro	Voltar		Wstecz
Back to library	Zur Bibliothek	Retour bibliothèque	라이브러리로	A la biblioteca					Alla libreria	Para a biblioteca		Do biblioteki
Back to the cover Center finds itself	Zurück zum Cover, das Center selbst findet	Revenir à la jaquette trouvée par Center	Center가 찾는 커버로 되돌립니다	Vuelve a la portada que Center encuentra					Torna alla copertina trovata da Center	Voltar à capa que o Center encontra sozinho		Wróć do okładki, którą Center znajduje sam
Backup created	Backup erstellt	Backup créé	백업 생성됨	Copia creada					Backup creato	Backup criado		Kopia utworzona
Backup failed	Backup fehlgeschlagen	Échec du backup	백업 실패	Fallo de copia					Backup non riuscito	Falha no backup		Kopia nie powiodła się
Blocked	Gesperrt	Bloquée	차단됨	Bloqueada					Bloccato	Bloqueado		Zablokowane
Both write the same hardware, and the last one to write wins.	Beide schreiben dieselbe Hardware, und der letzte Schreiber gewinnt.	Les deux écrivent le même matériel, et le dernier l'emporte.	둘 다 같은 하드웨어에 쓰며, 마지막에 쓴 쪽이 이깁니다.	Ambos escriben el mismo hardware, y gana el último.					Entrambi scrivono lo stesso hardware, e vince l'ultimo che scrive.	Os dois escrevem no mesmo hardware, e o último a escrever vence.		Oba zapisują ten sam sprzęt, a wygrywa ten, który zapisze ostatni.
Bring back a previous backup. A safety copy of the current state is taken automatically first.	Spielt ein früheres Backup zurück. Vom aktuellen Stand wird vorher automatisch eine Sicherung angelegt.	Restaure un backup précédent. Une copie de sécurité de l'état actuel est faite d'abord.	이전 백업을 되돌립니다. 현재 상태는 먼저 자동으로 백업됩니다.	Restaura una copia anterior. Antes se guarda automáticamente el estado actual.					Ripristina un backup precedente. Prima viene fatta in automatico una copia di sicurezza dello stato attuale.	Traz de volta um backup anterior. Antes, uma cópia de segurança do estado atual é feita automaticamente.		Przywróć wcześniejszą kopię zapasową. Najpierw automatycznie zapisywana jest kopia bieżącego stanu.
Browse for a file	Datei auswählen	Parcourir un fichier	파일 찾아보기	Buscar un archivo					Cerca un file	Procurar um arquivo		Wybierz plik
Browse…	Durchsuchen…	Parcourir…	찾아보기…	Examinar…					Sfoglia…	Procurar…		Przeglądaj…
Center background	Center-Hintergrund	Fond de Center	Center 배경	Fondo de Center					Sfondo di Center	Fundo do Center		Tło Center
Change folder	Ordner wechseln	Changer de dossier	폴더 변경	Cambiar carpeta					Cambia cartella	Mudar pasta		Zmień folder
Choose one of your images	Eigenes Bild wählen	Choisir une de vos images	내 이미지 선택	Elegir una de tus imágenes					Scegli una tua immagine	Escolha uma imagem sua		Wybierz własny obraz
Choose a background	Hintergrund wählen	Choisir un fond	배경 선택	Elegir un fondo					Scegli uno sfondo	Escolha um fundo		Wybierz tło
CPU boost	CPU-Boost	Boost CPU	CPU 부스트	Boost de CPU					Boost CPU	Boost da CPU		Boost CPU
CTW Full Reset	CTW ganz zurücksetzen	Reset complet CTW	CTW 전체 초기화	Restablecer todo CTW					Reset completo CTW	Redefinir tudo (CTW)		Pełny reset CTW
Cancel	Abbrechen	Annuler	취소	Cancelar					Annulla	Cancelar		Anuluj
Center is how you update ClawTweaks and reset the device. Remove ClawTweaks first if you meant to remove both.	Über Center aktualisierst du ClawTweaks und setzt das Gerät zurück. Entferne erst ClawTweaks, wenn beides weg soll.	C'est par Center que tu mets ClawTweaks à jour et que tu restaures l'appareil. Supprime ClawTweaks d'abord si tu veux tout enlever.	Center로 ClawTweaks를 업데이트하고 기기를 되돌립니다. 둘 다 지우려면 ClawTweaks를 먼저 제거하세요.	Con Center actualizas ClawTweaks y restauras el dispositivo. Quita antes ClawTweaks si quieres eliminar ambos.					Con Center aggiorni ClawTweaks e ripristini il dispositivo. Rimuovi prima ClawTweaks se vuoi togliere entrambi.	O Center é como você atualiza o ClawTweaks e restaura o dispositivo. Remova o ClawTweaks primeiro se quiser remover os dois.		Center służy do aktualizacji ClawTweaks i resetu urządzenia. Najpierw usuń ClawTweaks, jeśli chcesz usunąć oba.
Center itself never asks for admin rights.	Center selbst fragt nie nach Adminrechten.	Center lui-même ne demande jamais les droits admin.	Center 자체는 관리자 권한을 요구하지 않습니다.	Center nunca pide permisos de administrador.					Center non chiede mai i diritti di amministratore.	O Center nunca pede direitos de administrador.		Sam Center nigdy nie prosi o uprawnienia administratora.
Center settings	Center-Einstellungen	Paramètres Center	Center 설정	Ajustes de Center					Impostazioni di Center	Configurações do Center		Ustawienia Center
Center start screen	Center-Startseite	Écran d'accueil Center	Center 시작 화면	Pantalla de inicio					Schermata iniziale di Center	Tela inicial do Center		Ekran startowy Center
Centered	Zentriert	Centré	가운데 정렬	Centrado					Centrato	Centralizado		Wyśrodkowane
Certificate already trusted.	Zertifikat ist bereits vertraut.	Certificat déjà approuvé.	인증서가 이미 신뢰됨.	El certificado ya es de confianza.					Certificato già attendibile.	Certificado já confiável.		Certyfikat jest już zaufany.
Charge limit off and fan handed back to firmware.	Ladelimit aus, Lüfter zurück an die Firmware.	Limite de charge coupée, ventilateur rendu au firmware.	충전 제한을 끄고 팬을 펌웨어에 넘겼습니다.	Límite de carga apagado y ventilador devuelto al firmware.					Limite di carica disattivato e ventola restituita al firmware.	Limite de carga desligado e ventoinha devolvida ao firmware.		Limit ładowania wyłączony, wentylator oddany firmware.
Check	Prüfen	Vérifier	확인	Comprobar					Verifica	Verificar		Sprawdź
Check hardware controller health	Controller-Zustand prüfen	Vérifier l'état de la manette	컨트롤러 상태 확인	Comprobar el estado del mando					Verifica lo stato del controller	Verificar o estado do controle		Sprawdź stan kontrolera
Check the controller first.	Erst den Controller prüfen.	Vérifiez d'abord la manette.	먼저 컨트롤러를 확인하세요.	Comprueba antes el mando.					Verifica prima il controller.	Verifique o controle primeiro.		Najpierw sprawdź kontroler.
Checking controller mode…	Controller-Modus wird geprüft…	Vérification du mode manette…	컨트롤러 모드 확인 중…	Comprobando el modo del mando…					Verifica della modalità controller…	Verificando o modo do controle…		Sprawdzanie trybu kontrolera…
Checking for duplicate helpers…	Suche nach doppelten Helpern…	Recherche de helpers en double…	중복 헬퍼 확인 중…	Buscando helpers duplicados…					Ricerca di helper duplicati…	Procurando helpers duplicados…		Szukanie zdublowanych helperów…
Checking prerequisites…	Voraussetzungen werden geprüft…	Vérification des prérequis…	필수 요소 확인 중…	Comprobando requisitos…					Verifica dei prerequisiti…	Verificando pré-requisitos…		Sprawdzanie wymagań…
Checking the Game Bar…	Game Bar wird geprüft…	Vérification de la Game Bar…	Game Bar 확인 중…	Comprobando la Game Bar…					Verifica della Game Bar…	Verificando a Game Bar…		Sprawdzanie Game Bar…
Checking the controller…	Controller wird geprüft…	Vérification de la manette…	컨트롤러 확인 중…	Comprobando el mando…					Verifica del controller…	Verificando o controle…		Sprawdzanie kontrolera…
Checking whether the device can be restored.	Prüft, ob sich das Gerät zurücksetzen lässt.	Vérifie si l'appareil peut être restauré.	기기를 되돌릴 수 있는지 확인합니다.	Comprueba si el dispositivo puede restaurarse.					Verifica se il dispositivo può essere ripristinato.	Verificando se o dispositivo pode ser restaurado.		Sprawdzanie, czy urządzenie można przywrócić.
Checking…	Prüfe…	Vérification…	확인 중…	Comprobando…					Verifica…	Verificando…		Sprawdzanie…
Choose	Wählen	Choisir	선택	Elegir					Scegli	Escolher		Wybierz
Choose cover	Cover wählen	Choisir	커버 선택	Elegir portada					Scegli copertina	Escolher capa		Wybierz okładkę
Choose cover art	Cover wählen	Choisir une jaquette	커버 선택	Elegir portada					Scegli la copertina	Escolher a capa		Wybierz okładkę
Choose cover art…	Cover wählen…	Choisir une jaquette…	커버 선택…	Elegir portada…					Scegli la copertina…	Escolher a capa…		Wybierz okładkę…
Choose from installed apps	Aus installierten Apps wählen	Choisir parmi les apps installées	설치된 앱에서 선택	Elegir de las apps instaladas					Scegli tra le app installate	Escolher entre os apps instalados		Wybierz z zainstalowanych aplikacji
Choose how the library starts and looks.	Start und Aussehen der Bibliothek wählen.	Choisir l'ouverture et l'aspect de la bibliothèque.	라이브러리의 시작과 모양을 선택합니다.	Elige cómo se abre y se ve la biblioteca.					Scegli come si apre e come appare la libreria.	Escolha como a biblioteca abre e aparece.		Wybierz, jak biblioteka się uruchamia i wygląda.
Choose the language and how the window opens.	Sprache und Fenstermodus wählen.	Choisir la langue et le mode de fenêtre.	언어와 창 모드를 선택합니다.	Elige el idioma y el modo de ventana.					Scegli la lingua e come si apre la finestra.	Escolha o idioma e como a janela abre.		Wybierz język i sposób otwierania okna.
Choose what to add	Wählen, was hinzukommt	Choisir quoi ajouter	추가할 항목 선택	Elige qué añadir					Scegli cosa aggiungere	Escolha o que adicionar		Wybierz, co dodać
Choose what to do next.	Wähle, wie es weitergeht.	Choisissez la suite.	다음에 무엇을 할지 선택하세요.	Elige cómo seguir.					Scegli cosa fare ora.	Escolha o que fazer agora.		Wybierz, co dalej.
ClawTweaks Center is already installed	ClawTweaks Center ist bereits installiert	ClawTweaks Center est déjà installé	ClawTweaks Center가 이미 설치되어 있습니다	ClawTweaks Center ya está instalado					ClawTweaks Center è già installato	O ClawTweaks Center já está instalado		ClawTweaks Center jest już zainstalowany
ClawTweaks Library Overview	ClawTweaks-Bibliothek im Überblick	Aperçu de la bibliothèque ClawTweaks	ClawTweaks 라이브러리 개요	Resumen de la biblioteca ClawTweaks					Panoramica della libreria ClawTweaks	Visão geral da biblioteca ClawTweaks		Przegląd biblioteki ClawTweaks
ClawTweaks installed	ClawTweaks installiert	ClawTweaks installé	ClawTweaks 설치됨	ClawTweaks instalado					ClawTweaks installato	ClawTweaks instalado		ClawTweaks zainstalowany
ClawTweaks is in your Game Bar.	ClawTweaks ist in deiner Game Bar.	ClawTweaks est dans votre Game Bar.	ClawTweaks가 Game Bar에 있습니다.	ClawTweaks está en tu Game Bar.					ClawTweaks è nella tua Game Bar.	O ClawTweaks está na sua Game Bar.		ClawTweaks jest w Twoim Game Bar.
ClawTweaks is installed and its helper is answering.	ClawTweaks ist installiert und der Helper antwortet.	ClawTweaks est installé et son helper répond.	ClawTweaks가 설치되어 있고 헬퍼가 응답합니다.	ClawTweaks está instalado y su helper responde.					ClawTweaks è installato e il suo helper risponde.	O ClawTweaks está instalado e seu helper responde.		ClawTweaks jest zainstalowany, a jego helper odpowiada.
ClawTweaks is not installed	ClawTweaks ist nicht installiert	ClawTweaks n'est pas installé	ClawTweaks가 설치되어 있지 않습니다	ClawTweaks no está instalado					ClawTweaks non è installato	O ClawTweaks não está instalado		ClawTweaks nie jest zainstalowany
ClawTweaks is not installed.	ClawTweaks ist nicht installiert.	ClawTweaks n'est pas installé.	ClawTweaks가 설치되지 않았습니다.	ClawTweaks no está instalado.					ClawTweaks non è installato.	O ClawTweaks não está instalado.		ClawTweaks nie jest zainstalowany.
ClawTweaks is not running. Start it and try again.	ClawTweaks läuft nicht. Starte es und versuche es erneut.	ClawTweaks ne tourne pas. Lance-le et réessaie.	ClawTweaks가 실행 중이 아닙니다. 실행한 뒤 다시 시도하세요.	ClawTweaks no está en marcha. Inícialo e inténtalo de nuevo.					ClawTweaks non è in esecuzione. Avvialo e riprova.	O ClawTweaks não está em execução. Inicie-o e tente de novo.		ClawTweaks nie działa. Uruchom go i spróbuj ponownie.
ClawTweaks is removed. Its helper clears its own scheduled task and exits — give it a minute.	ClawTweaks ist entfernt. Der Helper räumt seine geplante Aufgabe weg und beendet sich — gib ihm eine Minute.	ClawTweaks est supprimé. Son helper efface sa tâche planifiée et se ferme — laisse-lui une minute.	ClawTweaks를 제거했습니다. 헬퍼가 예약 작업을 지우고 종료합니다. 잠시 기다리세요.	ClawTweaks se ha quitado. Su helper borra su tarea programada y se cierra — dale un minuto.					ClawTweaks è stato rimosso. L'helper cancella da solo la sua attività pianificata ed esce — dagli un minuto.	O ClawTweaks foi removido. O helper limpa sua própria tarefa agendada e sai — dê um minuto.		ClawTweaks został usunięty. Helper usuwa własne zadanie zaplanowane i kończy pracę — daj mu chwilę.
ClawTweaks not installed	ClawTweaks nicht installiert	ClawTweaks non installé	ClawTweaks 미설치	ClawTweaks no instalado					ClawTweaks non installato	ClawTweaks não instalado		ClawTweaks niezainstalowany
ClawTweaks removed.	ClawTweaks entfernt.	ClawTweaks supprimé.	ClawTweaks가 제거되었습니다.	ClawTweaks eliminado.					ClawTweaks rimosso.	ClawTweaks removido.		ClawTweaks usunięty.
ClawTweaks stays installed	ClawTweaks bleibt installiert	ClawTweaks reste installé	ClawTweaks는 그대로 남습니다	ClawTweaks sigue instalado					ClawTweaks resta installato	O ClawTweaks continua instalado		ClawTweaks pozostaje zainstalowany
ClawTweaks updated	ClawTweaks aktualisiert	ClawTweaks mis à jour	ClawTweaks 업데이트됨	ClawTweaks actualizado					ClawTweaks aggiornato	ClawTweaks atualizado		ClawTweaks zaktualizowany
Click the right stick to show the button hints	Rechten Stick drücken, um die Tastenhinweise zu zeigen	Cliquez le stick droit pour afficher les boutons	오른쪽 스틱을 누르면 버튼 안내가 표시됩니다	Pulsa el stick derecho para ver los botones					Premi lo stick destro per mostrare i suggerimenti dei tasti	Clique no analógico direito para mostrar as dicas de botões		Kliknij prawą gałkę, aby pokazać podpowiedzi przycisków
Close	Schließen	Fermer	닫기	Cerrar					Chiudi	Fechar		Zamknij
Close Center	Center beenden	Fermer Center	Center 종료	Cerrar Center					Chiudi Center	Fechar o Center		Zamknij Center
Close MSI Center M	MSI Center M schließen	Fermer MSI Center M	MSI Center M 닫기	Cerrar MSI Center M					Chiudi MSI Center M	Fechar o MSI Center M		Zamknij MSI Center M
Close all	Alle schließen	Tout fermer	모두 닫기	Cerrar todo					Chiudi tutto	Fechar tudo		Zamknij wszyst.
Closes everything and powers off.	Schließt alles und schaltet aus.	Ferme tout et éteint.	모두 닫고 전원을 끕니다.	Cierra todo y se apaga.					Chiude tutto e spegne.	Fecha tudo e desliga.		Zamyka wszystko i wyłącza.
Closes everything and starts again.	Schließt alles und startet neu.	Ferme tout et redémarre.	모두 닫고 다시 시작합니다.	Cierra todo y vuelve a arrancar.					Chiude tutto e riavvia.	Fecha tudo e reinicia.		Zamyka wszystko i uruchamia ponownie.
Connecting to the helper…	Verbinde mit dem Helper…	Connexion au helper…	헬퍼에 연결 중…	Conectando con el helper…					Connessione all'helper…	Conectando ao helper…		Łączenie z helperem…
Controller	Controller	Manette	컨트롤러	Mando						Controle		Kontroler
Controller health	Controller-Zustand	État de la manette	컨트롤러 상태	Estado del mando					Stato del controller	Estado do controle		Stan kontrolera
