term	note	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
hibernate	S4	Ruhezustand	veille prolongée	최대 절전	hibernar	гибернация	αδρανοποίηση	休眠	休眠	ibernazione	hibernar	休止状態	hibernacja
backup	a settings backup (noun)	Backup	sauvegarde	백업	copia de seguridad	резервная копия	αντίγραφο ασφαλείας	备份	備份	backup	backup	バックアップ	kopia zapasowa
restore	put a backup back (verb)	wiederherstellen	restaurer	복원	restaurar	восстановить	επαναφορά	还原	還原	ripristinare	restaurar	復元	przywróć
reset	back to defaults; "Reset · Backup · Restore" as a heading stays English	zurücksetzen	réinitialiser	초기화	restablecer	сбросить	επαναφορά εργοστασιακών	重置	重設	reimpostare	redefinir	リセット	resetuj
maintenance	the Reset/Backup/Restore area	Wartung	maintenance	유지 관리	mantenimiento	обслуживание	συντήρηση	维护	維護	manutenzione	manutenção	メンテナンス	konserwacja
install / uninstall	verbs for the app package	installieren / deinstallieren	installer / désinstaller	설치 / 제거	instalar / desinstalar	установить / удалить	εγκατάσταση / απεγκατάσταση	安装 / 卸载	安裝 / 解除安裝	installare / disinstallare	instalar / desinstalar	インストール / アンインストール	zainstaluj / odinstaluj
update	a newer build (noun and verb)	Update / aktualisieren	mise à jour / mettre à jour	업데이트	actualización / actualizar	обновление / обновить	ενημέρωση	更新	更新	aggiornamento / aggiornare	atualização / atualizar	更新	aktualizacja / zaktualizuj
release	a published build; "Release" as an origin label stays English in de	Release	version	정식 버전	versión	релиз	έκδοση	正式版	正式版	release	versão	リリース	wydanie
test build	an experimental build	Testbuild	build de test	테스트 빌드	build de prueba	тестовая сборка	δοκιμαστική έκδοση	测试版	測試版	build di test	build de teste	テストビルド	kompilacja testowa
download	verb and noun	Download / herunterladen	téléchargement / télécharger	다운로드	descarga / descargar	загрузка / скачать	λήψη	下载	下載	download / scaricare	download / baixar	ダウンロード	pobieranie / pobierz
device	the handheld itself	Gerät	appareil	장치	dispositivo	устройство	συσκευή	设备	裝置	dispositivo	dispositivo	デバイス	urządzenie
handheld	the device class	Handheld	console portable	휴대용 기기	consola portátil	портативная консоль	φορητή κονσόλα	掌机	掌機	handheld	portátil	携帯機	handheld
certificate	the signing certificate	Zertifikat	certificat	인증서	certificado	сертификат	πιστοποιητικό	证书	憑證	certificato	certificado	証明書	certyfikat
prerequisite	a tool the install needs first	Voraussetzung	prérequis	필수 구성 요소	requisito	необходимый компонент	προαπαιτούμενο	先决条件	必要條件	prerequisito	pré-requisito	前提条件	wymaganie wstępne
scheduled task	the Windows task that elevates the helper	geplante Aufgabe	tâche planifiée	예약 작업	tarea programada	запланированная задача	προγραμματισμένη εργασία	计划任务	排程工作	attività pianificata	tarefa agendada	タスクスケジューラのタスク	zaplanowane zadanie
D-pad	the directional pad	Steuerkreuz	croix directionnelle	십자키	cruceta	крестовина	σταυρός κατεύθυνσης	方向键	方向鍵	croce direzionale	direcional	十字キー	krzyżak
left stick / right stick	LS / RS in short labels	linker / rechter Stick	stick gauche / droit	왼쪽 / 오른쪽 스틱	stick izquierdo / derecho	левый / правый стик	αριστερό / δεξί μοχλό	左摇杆 / 右摇杆	左搖桿 / 右搖桿	levetta sinistra / destra	analógico esquerdo / direito	左スティック / 右スティック	lewa / prawa gałka
